"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"C4bp"	0	0.0546712	0	0.2347762	0.0604977	0	0	0
"C530008M17Rik"	0.937731783255	0.5608245	0.4771805	1.64397	0.8340533	1.5685417	0.5930078	1.22715650033494
"C5ar1"	5.88027	7.36798	19.90644	5.789049	8.58224	4.9323	55.43859	63.8258
"C5ar2"	3.40512	0.849201	3.45863	0.930186	0.903118	0	3.23301	8.50841
"C6"	0.385212	0.6300479	0.1994011	0.627971	0.721285	0.3797314	0.0398737	0.197496
"C7"	8.66935	10.59	3.85417	1.98161	13.526	7.19853	1.29081	1.17256
"C77080"	0.760927	0.450280000131999	0.764847	0.745183301	0.376377	0.680282	2.137126	2.130149
"C87414"	0.8474547	0.9371785	1.0526828	2.862112	0.412073	1.3665502	1.01378	1.4826
"C87436"	2.462812	2.996726	1.102059	0.940178294287	2.916405	2.668433	3.343163	5.27198
"C87499"	0	0.117052	0	0.6005245	0	0	0.0847466	0
"C87977"	0.272422	0.1196565	0.182386	0.5438595	0	0.0984155	0.0989205	0
"C8a"	0.11609	0.0933967	0.116581	0.7143488	0.0725038	0.427228	0.1604	0.174624
"C8b"	0	0.0447615	0	0.269927	0	0	0	0
"C8g"	2.223532	2.65628	0.649371	0.411007	1.952749	2.587272	0.403012	0.922646
"C9"	0	0	0.0260602	0.258254	0	0	0	0
"C9orf72"	7.964779	8.512807	4.284079	3.115606	8.449492	8.128765	11.159077	13.82243
"CAAA01118383.1"	4.57613	4.17361	3.08003	0.474556	3.96242	3.97815	6.12286	7.72725
"CAAA01144662.1"	7.35954	6.24334	7.18888	21.7106	5.24952	12.30576	14.40074	14.04762
"CAAA01147332.1"	284.754	301.489	228.228	46.388	343.271	225.779	721.018	881.439
"CAAA01154301.1"	0	0	0.1325896	0.1678982	0	0.0716878	0	0
"CAAA01156929.1"	0	0	0	0.475682	0	0	0.54626	1.218484
"CAAA01165726.1"	0	0	0	0	0	0	0	0
"Caap1"	1.23957	1.47043	0.916457	0.445389	1.93954	1.41144	6.45571	6.23115
"Cab39"	32.920598	39.994573	38.524462	18.10622	35.006274	41.617418	51.080007	59.45693
"Cab39l"	7.376685	8.76613	4.721074	5.080321	9.416869	9.322808	29.51057	30.835561
"Cabcoco1"	8.96565	8.722849	2.12207	1.355527	9.961045	9.37064	0.688696	0.6891203
"Cabin1"	4.616057	2.783828	2.164683	1.032849	3.850361	4.590321	4.21173	4.467606
"Cables1"	1.552641	1.7219	0.626955	0.207493	1.726789	1.752825	2.24498	2.3372069012
"Cables2"	2.48427	2.10458	1.81358	0.556743	2.46451	2.45847	3.43568	3.43103
"Cabp1"	0.267943	0.614666	0.164853	0.18704712	0.33937	1.239801	0.86732	1.260497
"Cabp2"	0	0.0837734	0.213226	0.6713872	0	0	0	0
"Cabp4"	0.01597222	0.000165343	0	0.028133	0	0.260002	0.1806102	0.268256
"Cabp5"	0.0910058	0.0328774	0.1545129	0.411738	0.0302864	0.0661963	0.0667818	0.201353
"Cabp7"	0.147601	0.112957	0.0828659	0.125237	0	0.252233	0.0232725	0.137936
"Cabs1"	0	0.0389597	0	0.215983	0	0	0	0
"Cabyr"	0.626657	0.498175	0.437536	0.274004	0.4784238	0.856928	0.524744	0.792013
"Cacfd1"	5.608896	8.208938	3.678776	2.869557	5.4787069	8.4583037	5.631888	6.480295
"Cachd1"	0.361939	0.389802	0.341667	0.486284	0.318887	0.5328334	1.027557	0.840434
"Cacna1a"	0.756306	0.4166522	0.2724567	0.488137	0.5613991	0.756152317	0.59783	0.478736
"Cacna1b"	0.015646062101	0.122075159261	0.068312015326	1.703083	0.02589443382	0.061982235622	0.1013152	0.11553961
"Cacna1c"	37.98886559895	32.2892846781861	8.1058701	4.00985230006206	19.5160416215985	36.0802381317431	3.185231084	3.658571
"Cacna1d"	0.81793575	0.1436655	1.17693950140849	0.9023631940866	0.2877334923183	1.60136056451	2.223271335138	1.23014612
"Cacna1e"	0.02273337	0.1270485	0.2787411	1.6891708	0.068147	0.09320665	0.0554461	0.09698769
"Cacna1f"	0.025037775686	0.07341411571	0.050356105421	0.2447857	0.025053503625	0.054689614815	0.17551185503	0.22647754075
"Cacna1g"	0.891475000121131	1.003082587	0.15328657149	0.253039	0.4536823285493	0.71867404463626	0.146951127748917	0.111405
"Cacna1h"	0.967972	0.72662974	0.2728872	0.271085428252	0.345384	0.36880100459431	0.0953000866	0.27030515604
"Cacna1i"	0.21120797	0	0	0.1934987	0	0.0166958	0.0169425	0.0187051
"Cacna1s"	1.096325	1.441294	0.811135	0.3641369	1.819592	1.604571	0.0432779	0.0125737
"Cacna2d1"	27.183854	32.304812	17.93386	10.168651	27.203172	32.222117	10.828102	12.5313226
"Cacna2d2"	0.2139558	0.305992	0.0400453	0.190327	0.058945639	0.1774849	0.0197793317	0.0123814
"Cacna2d3"	0.180329	0.4127921	0.153232	0.213582	0.1716905	0.251397	0.0766738	0
"Cacna2d4"	0.0173858	0	0.0356017	0.0833647	0.00868964	0.0853495	0.0096195	0.0665432
"Cacnb1"	1.450617	1.234874	0.671974	0.511818	1.156037	1.570889	0.696439	0.892719428449
"Cacnb2"	24.53312	24.320733	4.705558	6.7753	19.31568	31.41378	2.68049588	5.2054
"Cacnb3"	0.483011	0.631731	0.422567	0.151539419489	0.805136	0.452933	2.490551	3.003269
"Cacnb4"	0.1710289	0.1330356	0.162585	0.2047601	0.2244079	0.4483232	0.26400800477476	0.3945741875
"Cacng1"	0.0898547	0.0960959	0.631687	0.495112	0.0448136	0.0488702	0.493713	0.443227
"Cacng2"	0.0579368	0.106195	0.109835	0.291018	0.0408746	0.114558	0.011809	0.035234
"Cacng3"	0	0	0.1620045	0.238154	0	0	0.0206873	0.0204966
"Cacng4"	0.108267	0.138739	0.232258	1.0237	0.0564248	0.291111	0.369631	0.20714
"Cacng5"	0	0.02990510351	0.013997445518	0.118146	0	0.0301677	0	0
"Cacng6"	0.827244	0.818872	0.13855276	0.4262266	0.749208	0.4229292	0.07546	0.0295194
"Cacng7"	0.788018	0.895698	0.695446	0.30362	1.097042	0.676488	1.221594	1.905768
"Cacng8"	0	0.0429242	0.1704802	0.2538792	0	0.28017	0.0882518	0.563722
"Cactin"	2.964834	2.61465	2.92929	0.373987	2.46319	3.32804	4.107555	4.979097
"Cacul1"	8.79337	8.2078	7.64087	2.691279	6.474017	9.39608	15.10949	19.14814
"Cacybp"	23.29367	33.2751	12.08097	5.89048	25.99626	29.877	63.0918	77.1737
"Cad"	3.0271920013	3.06032	2.524498044548	1.26300322926898	2.309062	2.411042	6.18202232795	7.63337
"Cadm1"	0.9467981	0.617813	0.9707636	1.050749	0.861897	1.085307	1.471688284311	1.785688
"Cadm2"	0.3119487	0.2362732	0.0819769	0.5588549	0.1826253	0.1986834	0.0296909	0.0342414
"Cadm3"	0.422553	0.779875	0.508864	0.14984416	0.705919	0.2178797	0.6091916	0.443548
"Cadm4"	3.67303	4.27726	1.50005	0.394372	3.76601	3.80072	1.05357	1.01861
"Cadps"	0.02458	0.0181684	0	0	0	0	0	0
"Cadps2"	0.3575818	0.397485700498241	0.21181520344698	0.723812	0.612318	0.5813086	0.623188	0.56289200277237
"Cage1"	0.12594959124	0.3435355	0.315316	0.280258	0.488356	0.626718841	0.4450917	0.423769
"Calb1"	0.0120734	0.0659555	0	0.0967013	0.0120664	0	0.0133516	0.0132058
"Calb2"	0.0385119	0.170382	0.0533781	0.2435859	0	0.057775	0.0847466	0.0421973
"Calca"	0.218628	0	1.2653402	0.2968195	0.259958	0.0790949	0.0796583	0
"Calcb"	0	0	0.214109	0.510715	0.121444	0	0.0667569	0.0981827
"Calcoco1"	41.172538	40.916315	11.79718511	4.254915	29.47481174198	32.445588	5.623215	6.408457
"Calcoco2"	0	0	0.0607397	0.307654	0	0	0	0.0663674
"Calcr"	0	0.165431	0.0258416	0.285051	0.0256963	0.0477659	0	0
"Calcrl"	5.261263	6.96475	6.65634	4.7691203149	12.15139	8.04654	29.21871	28.79395
