"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"Lrp1"	6208.8724	6264.8868	2275.0923	1467.96821	6011.57892	3691.85823	8774.5407	10872.8981
"Lrp10"	694.248	519.9997	435.071	139.376	469	362.468	519.402	582.552
"Lrp11"	52.00003794	57.9999158	28.00002	16	50.99998	50	52	87.0001
"Lrp12"	115.00026	119.4702	170.6112	102.5135	125	104.4282	623.7243	680.9362
"Lrp1b"	10	37.3578082	4.4725	64.3889278	24.8803	25.4435	4	6
"Lrp2"	20	25.0000287	26	123.99999	58.7084	48	52	31
"Lrp2bp"	26.63116	16.20561	6.777171	15.01323	21.46512	20.39579	17.9812	4.839
"Lrp3"	88.0312	81.91967896	37.1096	16.4942	78.0414	81.2219	50.1045	65.9598
"Lrp4"	319.71	318.535	100.236	76.0456	268.924	223.303	143.292	237.155
"Lrp5"	734.7	515.6808	218.607	39.3505	535.8942	379.7076	342.3968	312.6077
"Lrp6"	1287.0744	1452.8323	818.9936	545.8634	1646.5911	1719.8368	1762.9895	2089.4331
"Lrp8"	7.20989	12.36843	129.9027	76.396994	6.55073	19.71793	131.9397447014	138.12973
"Lrpap1"	658.4	778.247	458.1227	224.5538	697.7642	665.6733	992.953	1239.191
"Lrpprc"	4643.84	4997.44	1657.47	960.197	4688.19	4004.54	1082.69	1549.45
"Lrr1"	0	0	0	2.39302	0	0	48.2064	59.328
"Lrrc1"	319.3746	331.29489	82.87588	65.6874	362.21281	335.8617	74.02777	61.37343
"Lrrc10"	2111	1660	805	200	1331	1675	175	240
"Lrrc10b"	8.00006	7.05801	4.04108	14.2736	4.02573	16.1508	10.0293	12.0536
"Lrrc14"	105.61894	101.54189	73.24041866	63.239945	70.85484051	141.43363	137.2332	196.96362
"Lrrc14b"	782.707	964.118	68.5672	11.629	925.315	945.814	4.71553	1.99283
"Lrrc15"	201	280	18	33	291	247	47	47
"Lrrc17"	44.1949	58.8807	14.7879	30.8005	108.357	57.9961	483.416	852.18
"Lrrc18"	1	2.999996	6	18	9	14	29.13919	54.99998
"Lrrc19"	3.0102800167785	4.0825100437768	8.23313	19.5701	5.01037	8.38845	18.7960000829362	20.4658
"Lrrc2"	3594.816	4996.818	1132.35	839.465	5095.53	4935.776	933.646	1072.649
"Lrrc20"	364.479	363.881	91.0764	74.9736	322.852	330.379	107.317	120.724
"Lrrc23"	0	3.999997	1	8	5	3	0	1
"Lrrc24"	17.789	11.9255	1.75708	2.91588	2.20515	5.52125	0	1.66518
"Lrrc25"	61.7675	56.6258	70.86095	32.7658	84.7968	42.7765	425.2205	519.64946
"Lrrc26"	0	0	0	5	0	0	0	0
"Lrrc27"	14.53484	29.76064	23.31312	13.54886	15.589	26.606208	46.60362	70.3838
"Lrrc28"	63.93947	76.4702	41.563	17.95353	71.15911	95.689686	83.095078	93.33666
"Lrrc29"	14.1213	25.00002	51.93896	14.59224	18.00002	43.05	34.8344	58.0001
"Lrrc3"	5.38412	7.49998	3.49796	28.3732	11.3861	16.1182	19.4387	9.99818
"Lrrc30"	18	12	4	8	12	12	0	0
"Lrrc31"	3.04141	10.01843	8.10527	20.02022	6.26847	8.18505	3.0688	2.07163
"Lrrc32"	160.00057	159.8395	400.00697	132.28181	200.0016	142.63475	847.00972	687.7849
"Lrrc34"	0	1	1	7	2	5	2	3
"Lrrc36"	4.99412	15.99996	6.425897737	7.28311	0	6.18139	0	3
"Lrrc37a"	1	4	1	31.4438	0	1.00052	0	1
"Lrrc38"	0	0	1	5	0	1	0	0
"Lrrc39"	1425.39	1730.56	596.415	516.184	1934.86	1710.36	251.783	291.893
"Lrrc3b"	243.0002	260.0005	137	51	263.9998	260.0001	35.99997	32.99997
"Lrrc3c"	0	0	0	0	0	0	0	0
"Lrrc4"	26	12	45.99998	28.99998	13	46	61.00004	55.99995
"Lrrc40"	46.1357	67.2423	28.497	48.4811	85.6923	60.4227	223.694	246.136
"Lrrc41"	527.586	485.061	504.406	230.052	438.887	455.548	586.313	727.475
"Lrrc42"	32.63124	28.5342	19.9804	5.81268	58	30.911772	132.87257	121.19868
"Lrrc43"	0	0	3.0000030366	11	0	0	0	0
"Lrrc45"	54.86141	57.2112	44.4741	12.0248	27.3871	24.84239	139.00101	182.15914
"Lrrc46"	1	3	2	4	3	0	4	2
"Lrrc47"	398.72055	381.1425	319.56881	74.2568000126579	351.207	320.56015	329.16	363.326
"Lrrc49"	71.53324	104.6618	87.15712	78.717360060684	114.65257	101.47789	357.4479639	393.81473
"Lrrc4b"	221.27045	214	31.05707	15.13791	235	211.744676	11.0073	10.094526
"Lrrc4c"	15.001823	10	6.16142	17.07584	16	27.08145	7.000003	10
"Lrrc51"	35.57214216386	43.14913265396	15.734122	13.898880243685	32.4818400385201	35.61449	20.1763	20.1087200526537
"Lrrc52"	95	44	9	11	33	77	0	1
"Lrrc55"	6	6.38503	7.22514	14.16593	14	14	45.36812	78.34471
"Lrrc56"	36.13756	30.92285	5.273278	12.6974	28.3746	29.47786	25.87307	36.18275
"Lrrc57"	258.99978	264.83231	114.0829	69.0001	259.3822	223.4464	305.6012	336.0005
"Lrrc58"	2982.22	2406.53	3015.97	1336.84	2441.11	2624.29	3883.85	4173.83
"Lrrc59"	612.817	518.507	809.162	300.45	488.8	393.027	2218.2	3121
"Lrrc6"	0	1	0	7	0	0	2	2
"Lrrc61"	100.22404	92.77285	44.01968	35.25995	101.08306	96.288477	52.7472	72.40841
"Lrrc63"	0	1	5.00736	16	1.00524	3.00359	2	4.15641
"Lrrc66"	1	3.000005	3	10.999978	0	1	2	7
"Lrrc69"	18	11	5	12.1539	11	13	1.81712	1.75437
"Lrrc7"	0	4.02195	2	15.0738778355	0	2	0	2
"Lrrc71"	19.87238	10.28481	23.7525	4.70403	17.496679	27.5202	7.30533	12.70377
"Lrrc72"	0	2	0	2	0	0	0	0
"Lrrc73"	0	0	4.33527	4.73439	1	8.67585	5	8
"Lrrc74a"	0	0	1.31908	0	0	0.000611818	0	0
"Lrrc74b"	16.5225	21.6354	17.9121	63.53171	7.6774	24.5282	19.7416	30.1964
"Lrrc75a"	48	35.5398	28	20	45.4606	32.4066	110	104.268
"Lrrc75b"	7.69426	15.8037	11.7581	44.7625	7.50196	12.1875	16.5361	15.5507
"Lrrc8a"	1453.0673	1060.5518	1204.8031	321.7005	932.0248	882.5486	859.6592	972.1805
"Lrrc8b"	112	88	181	93	121	148	373	448
"Lrrc8c"	570.7843	467.796	476.8412	202.09022	391.58115	445.8957	801.3727	706.2448
"Lrrc8d"	64.469664	62.5697	162.61982	79.6763	87.16688	110.14429	179.31619	265.6623
"Lrrc8e"	16.2657	15.101	21.129	29.1165	17.2177	27.1742	17.4734	49.7725
"Lrrc9"	0	0	0	9.49707	0	0	3.85215	0.180862
"Lrrcc1"	133.441899	152.05418	69.328505456	140.1592	287.4468	247.2659	789.2672	911.7869
"Lrrd1"	1	3.999999	3	7	3	2	3	4
"Lrrfip1"	939.69776	1082.48489	2108.9076	937.86633	1174.33314417	1286.47944	2121.3468	2549.6484
"Lrrfip2"	1484.0351	1573.2253	1260.67389	664.39238	1541.1176	1823.12743	1008.76436	1032.3523
"Lrriq1"	0	5.999994	2	19.00003	0	1	1	0
"Lrriq3"	1.78075	10.34221	3.69437	15.81468	1.91205	7.60205	12.31006	10.9671
"Lrriq4"	0	3	1	12	0	0	0	0
"Lrrk1"	223.958	198.87	187.502	98.4647	213.612	233.995	477.075	648.033
"Lrrk2"	559.296	637.14	339.755	313.546	675.75	725.172	1492.1	1457.94
"Lrrn1"	2	1	3	13	10	1	3	0
"Lrrn2"	33.2246	25.4109	12	5.90514	22	16	27.8225	37.4735
"Lrrn3"	53	38	9	34	55	71	74	72
"Lrrn4"	10	14	12	28	42	23	38	15
"Lrrn4cl"	49.4512	78.4521	60.7289	49.85311	142.7091	82.2308	50.4625	58.111
"Lrrtm1"	0	0	0.14821	0	0	0	0	0
"Lrrtm2"	97.0463	84.6865	197.696	185.329	115.595	304.925	216.47	232.91
"Lrrtm3"	70.1878	71.9263	33.4104	50.6865	53.9872	210.906	20.1812	22.0474
"Lrrtm4"	12	11.000002	12	50.43848	7	17	8	20
"Lrsam1"	215.454750542205	151.950916	74.00003149649	45.35724	152.55304713	159.97745	119.15245848	143.12776
"Lrtm1"	5314.893	6554.983	797.9998	561.895	5312	6354.997	252.884	274.04712
"Lrtm2"	3.02015	1.00921	6.38573514	17.7854	0	1.28816	1.01247	1.63062
"Lrwd1"	90.722	98.17106	21.4772	0	103.724	50.468032	209.085	281.33
"Lsamp"	54.000027	51.99993	14.999987	43.103524	80.00002	55	2	6
"Lsg1"	81.1781	39.6419	88.9202	92.2949	60.0068	50.5715	88.0962	72.0827
"Lsm1"	100.839	110.40014	89.19428	37.6048	139.872	122.69321	252.38944	281.76328
"Lsm10"	146.00023	125	29	28	139	135	163.0002	196.0004
"Lsm11"	96.0864	85.6175	65.7087	82.3591	81.8404	144.268	112.859	206.743
"Lsm12"	678.97	650.086	554.722	315.355	625.967	601.097	1015.23	1223.2
"Lsm14a"	388.64432	380.79706	421.93511	247.11272	506.0688	429.28224	843.91418	863.7445
"Lsm14b"	578.255	564.734	201.33	83.0942	530.888	439.447	298.0004	278.5198
"Lsm2"	50.7981	46.3009	36.5619	12.10833	61.7115	58.8712	166.3432	186.2315
"Lsm3"	276.6792	292.4492	110.2068	79.3463	390.1669	260.0216	1021.323	984.464
"Lsm4"	336.30562	370.0002	135.56136	51.08352	302.91646	247.0001	350.00028	444.47114
"Lsm5"	63.815	66.1055	38.6004	27.689	78.1958	46.8908	545.42738	641.85571
"Lsm6"	226.0528	263.4382	138.6426	175.33	230.6551	243.0089	582.936	651.62
"Lsm7"	150.73505	170.99319	98.13532	60.56377	187.44841	192.06356	445.11632	539.3875
"Lsm8"	144.03294	137.972	98.95762	49.2263	193.347	135.68694	804.9114	738.3723
"Lsmem1"	206.9996	272.8334	54.7176	80	384	351	58	64
"Lsmem2"	394.405	360.951	32.6948	1.6001	348.389	344.627	32.0408	29.2551
"Lsp1"	345.3852	344.84227	429.0562	169.162417	522.5782	333.3142	1971.75723084	2126.76360001302
"Lsr"	106	70.0000400541568	63.99998	31.99998	76	110	114	141.000004
"Lss"	19.7795	0	1.51174	6.50733	15.6589	2.25419	52.5178	56.361
"Lst1"	12	27	21	22	54	24	646	738
"LT629147.2"	0	0	1.27885	1.09825	0	2.33082	2.45668	4.47164
"LT629147.3"	0	0	0	0	0	0	0	0
"LT629147.4"	0	0	0	0	0	0	0	0
"LT629148.1"	0	0	0	0	0	0	1.110422	0
"LT629148.10"	0	0	0	0	0	3.2430766	0	0
"LT629148.11"	0	0	0	0	0	0	0	0
"LT629148.12"	0	0	0	0	0	0	0	0
"LT629148.4"	0	0	0	0	0.153631	0	0	0
"LT629148.5"	0	0	0	0	0	0	0	0
"LT629148.6"	0	0	0	0	0.50483	0	0.18212	0
"LT629148.7"	0	0	0	0	0	0	0	2.20734
"LT629148.9"	0	0	0	0	0	0	0	0
"LT629149.1"	0	0	0	0	0	0	0	0
"LT629149.2"	0	0	0	0	0	0	0	0
"LT629149.4"	0	0	0	0	0	0	0	0
"LT629149.5"	0	0	0	0	1.1372	0	0	0
"LT629149.6"	0	0	0	0	0	0	0	0
