Transcript stable ID version	Gene stable ID	Gene name
ENSMUST00000185393.6	ENSMUSG00000079658	Eloc
ENSMUST00000186701.1	ENSMUSG00000079658	Eloc
ENSMUST00000031419.5	ENSMUSG00000029463	Fam216a
ENSMUST00000107773.2	ENSMUSG00000028328	Tmod1
ENSMUST00000156200.7	ENSMUSG00000028328	Tmod1
ENSMUST00000187584.6	ENSMUSG00000055322	Tns1
ENSMUST00000191104.6	ENSMUSG00000055322	Tns1
ENSMUST00000187691.6	ENSMUSG00000055322	Tns1
ENSMUST00000185702.6	ENSMUSG00000055322	Tns1
ENSMUST00000185331.6	ENSMUSG00000055322	Tns1
ENSMUST00000212888.1	ENSMUSG00000055322	Tns1
ENSMUST00000189228.1	ENSMUSG00000055322	Tns1
ENSMUST00000191367.1	ENSMUSG00000055322	Tns1
ENSMUST00000190389.6	ENSMUSG00000055322	Tns1
ENSMUST00000187281.6	ENSMUSG00000055322	Tns1
ENSMUST00000191204.6	ENSMUSG00000055322	Tns1
ENSMUST00000188208.1	ENSMUSG00000055322	Tns1
ENSMUST00000169786.7	ENSMUSG00000055322	Tns1
ENSMUST00000054565.7	ENSMUSG00000007867	Ift43
ENSMUST00000222821.1	ENSMUSG00000007867	Ift43
ENSMUST00000222905.1	ENSMUSG00000007867	Ift43
ENSMUST00000107353.2	ENSMUSG00000005621	Zfp592
ENSMUST00000165532.2	ENSMUSG00000025794	Rpl14
ENSMUST00000101654.9	ENSMUSG00000073255	Gm14632
ENSMUST00000177917.1	ENSMUSG00000073255	Gm14632
ENSMUST00000023116.6	ENSMUSG00000022477	Aco2
ENSMUST00000135198.1	ENSMUSG00000022477	Aco2
ENSMUST00000157003.7	ENSMUSG00000022477	Aco2
ENSMUST00000229068.1	ENSMUSG00000022477	Aco2
ENSMUST00000231091.1	ENSMUSG00000022477	Aco2
ENSMUST00000169504.7	ENSMUSG00000022019	Tdrd3
ENSMUST00000168275.8	ENSMUSG00000022019	Tdrd3
ENSMUST00000170865.7	ENSMUSG00000022019	Tdrd3
ENSMUST00000170712.7	ENSMUSG00000022019	Tdrd3
ENSMUST00000107581.8	ENSMUSG00000028071	Sh2d2a
ENSMUST00000029709.6	ENSMUSG00000028071	Sh2d2a
ENSMUST00000022182.4	ENSMUSG00000021675	F2rl2
ENSMUST00000140079.7	ENSMUSG00000033740	St18
ENSMUST00000131494.7	ENSMUSG00000033740	St18
ENSMUST00000043578.12	ENSMUSG00000033740	St18
ENSMUST00000139756.7	ENSMUSG00000033740	St18
ENSMUST00000131467.7	ENSMUSG00000033740	St18
ENSMUST00000150761.7	ENSMUSG00000033740	St18
ENSMUST00000151281.7	ENSMUSG00000033740	St18
ENSMUST00000139838.7	ENSMUSG00000033740	St18
ENSMUST00000130338.1	ENSMUSG00000033740	St18
ENSMUST00000163727.3	ENSMUSG00000033740	St18
ENSMUST00000031420.10	ENSMUSG00000029464	Gpn3
ENSMUST00000151173.1	ENSMUSG00000029464	Gpn3
ENSMUST00000099931.10	ENSMUSG00000038332	Sesn1
ENSMUST00000041438.6	ENSMUSG00000038332	Sesn1
ENSMUST00000068631.3	ENSMUSG00000055197	Fev
ENSMUST00000159232.1	ENSMUSG00000055197	Fev
ENSMUST00000058912.2	ENSMUSG00000047356	Lcn10
ENSMUST00000046891.5	ENSMUSG00000037759	Ptger2
ENSMUST00000034896.12	ENSMUSG00000032342	Mto1
ENSMUST00000133002.1	ENSMUSG00000032342	Mto1
ENSMUST00000105283.8	ENSMUSG00000019966	Kitl
ENSMUST00000130190.7	ENSMUSG00000019966	Kitl
ENSMUST00000218200.1	ENSMUSG00000019966	Kitl
ENSMUST00000020129.7	ENSMUSG00000019966	Kitl
ENSMUST00000074575.10	ENSMUSG00000063511	Snrnp70
ENSMUST00000210514.1	ENSMUSG00000063511	Snrnp70
ENSMUST00000211211.1	ENSMUSG00000063511	Snrnp70
ENSMUST00000209858.1	ENSMUSG00000063511	Snrnp70
ENSMUST00000211121.1	ENSMUSG00000063511	Snrnp70
ENSMUST00000214321.1	ENSMUSG00000049737	Olfr1361
ENSMUST00000055615.1	ENSMUSG00000049737	Olfr1361
ENSMUST00000030014.8	ENSMUSG00000028330	Ncbp1
ENSMUST00000023431.7	ENSMUSG00000022749	Tbc1d23
ENSMUST00000226586.1	ENSMUSG00000022749	Tbc1d23
ENSMUST00000095959.1	ENSMUSG00000071489	Ptgdr
ENSMUST00000097644.8	ENSMUSG00000026313	Hdac4
ENSMUST00000187308.1	ENSMUSG00000026313	Hdac4
ENSMUST00000186002.2	ENSMUSG00000026313	Hdac4
ENSMUST00000008995.14	ENSMUSG00000026313	Hdac4
ENSMUST00000205788.2	ENSMUSG00000108534	Olfr1360
ENSMUST00000216083.1	ENSMUSG00000108534	Olfr1360
ENSMUST00000079135.5	ENSMUSG00000108534	Olfr1360
ENSMUST00000018651.13	ENSMUSG00000018507	Trpv2
ENSMUST00000102643.1	ENSMUSG00000018507	Trpv2
ENSMUST00000025243.4	ENSMUSG00000024384	Iws1
ENSMUST00000212675.1	ENSMUSG00000024384	Iws1
ENSMUST00000212458.1	ENSMUSG00000024384	Iws1
ENSMUST00000060265.5	ENSMUSG00000046000	Naa11
ENSMUST00000047232.13	ENSMUSG00000042410	Agps
ENSMUST00000111952.8	ENSMUSG00000042410	Agps
ENSMUST00000175646.1	ENSMUSG00000042410	Agps
ENSMUST00000176056.1	ENSMUSG00000042410	Agps
ENSMUST00000214435.1	ENSMUSG00000108674	Olfr1359
ENSMUST00000077843.5	ENSMUSG00000108674	Olfr1359
ENSMUST00000169611.3	ENSMUSG00000023921	Mmut
ENSMUST00000233222.1	ENSMUSG00000023921	Mmut
ENSMUST00000059657.3	ENSMUSG00000050553	Gk2
ENSMUST00000091756.1	ENSMUSG00000094338	H2bc13
ENSMUST00000110849.9	ENSMUSG00000037395	Rcor3
ENSMUST00000073279.12	ENSMUSG00000037395	Rcor3
ENSMUST00000192866.5	ENSMUSG00000037395	Rcor3
ENSMUST00000194750.5	ENSMUSG00000037395	Rcor3
ENSMUST00000192491.5	ENSMUSG00000037395	Rcor3
ENSMUST00000192128.5	ENSMUSG00000037395	Rcor3
ENSMUST00000193144.1	ENSMUSG00000037395	Rcor3
ENSMUST00000155901.7	ENSMUSG00000034724	Cnot6l
ENSMUST00000122003.7	ENSMUSG00000034724	Cnot6l
ENSMUST00000129646.7	ENSMUSG00000034724	Cnot6l
ENSMUST00000141383.7	ENSMUSG00000034724	Cnot6l
ENSMUST00000137207.1	ENSMUSG00000034724	Cnot6l
ENSMUST00000154500.1	ENSMUSG00000034724	Cnot6l
ENSMUST00000113005.8	ENSMUSG00000034724	Cnot6l
ENSMUST00000198518.4	ENSMUSG00000067242	Lgi1
ENSMUST00000199812.4	ENSMUSG00000067242	Lgi1
ENSMUST00000198045.4	ENSMUSG00000067242	Lgi1
ENSMUST00000196090.1	ENSMUSG00000067242	Lgi1
ENSMUST00000112336.7	ENSMUSG00000042240	Crybb2
ENSMUST00000031295.7	ENSMUSG00000042240	Crybb2
ENSMUST00000070124.4	ENSMUSG00000071516	H2ac13
ENSMUST00000046333.8	ENSMUSG00000040541	Tmem225
ENSMUST00000238613.1	ENSMUSG00000040541	Tmem225
